Beijing_S,Beijing_E,Beijing_I,Beijing_R,Beijing_D,Beijing_H,Wuhan_S,Wuhan_E,Wuhan_I,Wuhan_R,Wuhan_D,Wuhan_H
21724632.588838894,45.5368032829361,35.35103288379062,14.343709203394452,0.0,31.182616281842378,10702845.797909556,3991.2174951616284,2710.599043749348,994.5651672707173,1.0,3544.676336825408
21724628.43986731,46.766749008780195,37.34221010314041,15.27155783551494,0.0,34.101642133312644,10702410.451955473,4170.71617391505,2895.3019872232817,1065.7094991276556,1.0,3800.5236121562807
21724624.655662626,47.55308517400914,39.3599681279495,16.251668336909702,0.0,37.0995106595165,10701996.683037002,4317.131491495738,3086.6634099729295,1141.7016772699988,1.0,4067.8772130482716
21724621.22567546,47.934797651371206,41.375172788986134,17.284738366514674,0.0,40.14778535015811,10701605.860456603,4431.21487371943,3282.387820482402,1222.7164649333301,1.0,4344.616411221075
21724618.134080663,47.953649007851645,43.36195368778326,18.370700906908013,0.0,43.22052878934857,10701238.810000652,4514.213094174956,3480.2881446784863,1308.8683762320811,1.0,4628.668646715911
21724615.361381486,47.65239631801778,45.29779652658421,19.50880992758474,0.0,46.294480648826244,10700895.880988345,4567.769472241908,3678.3146333908517,1400.2145217617,1.0,4918.041280957896
21724612.885765918,47.07337109344417,47.163518772195886,20.697728471589574,0.0,49.34912143844277,10700577.01653909,4593.828186096895,3874.5766776258606,1496.7582129268142,1.0,5210.847016358016
21724610.684213627,46.25739960454514,48.94315492842102,21.93561610340574,0.0,52.36664522648406,10700281.823186487,4594.545372922831,4067.357917479362,1598.453138848753,1.0,5505.323182133458
21724608.733368926,45.24302638441972,50.62377560957353,23.22021334562151,0.0,55.33186314985234,10700009.637036273,4572.209383845308,4255.125255785578,1705.207939832463,1.0,5799.845321423385
21724607.01020488,44.065996430153476,52.19526158732613,24.548921366870164,0.0,58.2320571488536,10699759.58459632,4529.171478681948,4436.532523324193,1816.891017412137,1.0,6092.9356665416735
21724605.492507845,42.75895010216957,53.65005057586264,25.918875739240924,0.0,61.05680050976087,10699530.637175001,4467.78739495678,4610.419605183545,1933.335440596499,1.0,6383.2671715853885
21724604.159212682,41.351286930575,54.98287110535523,27.32701354963102,0.0,63.79775884964354,10699321.65834841,4390.369593665262,4775.807844477897,2054.343829183994,1.0,6669.663799467231
21724602.990617182,39.869158899028754,56.19047465002741,28.770133526149532,0.0,66.44848237083423,10699131.444448996,4299.149544767218,4931.892505533134,2179.693116440631,1.0,6951.097747779108
21724601.968501613,38.33555915579954,57.271374356455446,30.2449491337618,0.0,69.00419768487454,10698958.758348238,4196.249136247133,5078.033017292529,2309.139113961186,1.0,7226.684257059059
21724601.076175407,36.77047772775735,58.225596316000605,31.74813481240892,0.0,71.46160532306683,10698802.357016437,4083.660138802153,5213.741640048524,2442.4208204518036,1.0,7495.674586305667
21724600.189550553,35.30002067385311,59.054447347190376,33.276365686844635,0.0,73.8186872286923,10698661.013466457,3963.2306029603697,5338.6711132694745,2579.264433051502,1.0,7757.44767212632
21724599.308914028,33.91783536362408,59.76728369058095,34.826351181521545,0.0,76.0815090667598,10698533.533745918,3836.6570797167133,5452.601755650836,2719.3870344496518,1.0,8011.500915905831
21724598.434524752,32.61800442007931,60.37280879620887,36.39504629151056,0.0,78.25572928237672,10698418.769652084,3705.4816171619495,5555.42840507047,2862.4999414221147,1.0,8257.440472297929
21724597.56661567,31.395015788495943,60.879118358063934,37.97963444889136,0.0,80.3466270016126,10698315.627820153,3571.092576197314,5647.147508803512,3008.3117105840693,1.0,8494.971345192924
21724596.705395587,30.243734864846054,61.2937422478881,39.577511571150254,0.0,82.35912801369565,10698223.07579097,3434.7284145987296,5727.844604866139,3156.530805303321,1.0,8723.887535974802
